match_id,date,minute,title,comment,out_player,in_player,home_team,away_team
e314090d,2025-04-04,,Full Time,"Second half ends, Chicago Fire FC 1, Nashville SC 0.",,,Chicago,Nashville
e314090d,2025-04-04,,End Of Second Half,End of match.,,,Chicago,Nashville
e314090d,2025-04-04,90'+8,,"Offside, Nashville SC. Sam Surridge is caught offside.",,,Chicago,Nashville
e314090d,2025-04-04,90'+8,Attempt Saved,Attempt blocked. Woobens Pacius's (Nashville SC) with header from the center of the box with an xG of 9% is blocked by Andrew Gutman.,,,Chicago,Nashville
e314090d,2025-04-04,90'+7,,"Hany Mukhtar (Nashville SC) wins a free kick, after being fouled by Dje D’Avilla (Chicago Fire FC).",,,Chicago,Nashville
e314090d,2025-04-04,90'+5,Attempt Missed,Attempt missed. Jeisson Palacios's (Nashville SC) with right footed shot from the center of the box with an xG of 37% misses to the left.,,,Chicago,Nashville
e314090d,2025-04-04,90'+4,,"Jeisson Palacios (Nashville SC) wins a free kick, after being fouled by Jonathan Bamba (Chicago Fire FC).",,,Chicago,Nashville
e314090d,2025-04-04,90'+4,Attempt Saved,Attempt saved. Warren Madrigal's (Nashville SC) with header from the center of the box with an xG of 2% is saved by Chris Brady.,,,Chicago,Nashville
e314090d,2025-04-04,90'+3,,"Ahmed Qasem (Nashville SC) wins a free kick, after being fouled by Robin Lod (Chicago Fire FC).",,,Chicago,Nashville
e314090d,2025-04-04,90'+1,,,P. Zinckernagel,V. Radojević,Chicago,Nashville
e314090d,2025-04-04,90',,"Jonathan Bamba (Chicago Fire FC) wins a free kick, after being fouled by Andy Nájar (Nashville SC).",,,Chicago,Nashville
e314090d,2025-04-04,90',Attempt Saved,Attempt saved. Jeisson Palacios's (Nashville SC) with header from the center of the box with an xG of 25% is saved by Chris Brady.,,,Chicago,Nashville
e314090d,2025-04-04,89',,,E. Tagseth,W. Pacius,Chicago,Nashville
e314090d,2025-04-04,87',,"Leonardo Barroso (Chicago Fire FC) wins a free kick, after being fouled by Ahmed Qasem (Nashville SC).",,,Chicago,Nashville
e314090d,2025-04-04,86',,"Jeisson Palacios (Nashville SC) wins a free kick, after being fouled by Robin Lod (Chicago Fire FC).",,,Chicago,Nashville
e314090d,2025-04-04,84',,"Jonathan Bamba (Chicago Fire FC) wins a free kick, after being fouled by Patrick Yazbek (Nashville SC).",,,Chicago,Nashville
