event_id,match_id,event_minute,event_type,event_comment
84,e93f5eae,90'+13,Attempt Missed,Attempt missed. Dániel Sallói's (Toronto FC) with right footed shot from the right side of the box with an xG of 2% goes over.
83,e93f5eae,90'+12,Corner,"Corner from the right, (Toronto FC). Executed by Jonathan Osorio."
82,e93f5eae,90'+10,Attempt Saved,Attempt blocked. Emilio Aristizábal's (Toronto FC) with right footed shot from the right side of the box with an xG of 3% is blocked by Rob Holding.
81,e93f5eae,90'+9,Foul,"Jonathan Osorio (Toronto FC) wins a free kick, after being fouled by Hamzat Ojediran (Colorado Rapids)."
80,e93f5eae,90'+8,Corner,"Corner from the right, (Toronto FC). Executed by Jonathan Osorio."
79,e93f5eae,90'+6,Attempt Missed,Attempt missed. Emilio Aristizábal's (Toronto FC) with right footed shot from the center of the box with an xG of 49% misses to the left.
78,e93f5eae,90'+5,Corner,"Corner from the right, (Colorado Rapids). Executed by Keegan Rosenberry."
77,e93f5eae,90'+4,Corner,"Corner from the left, (Colorado Rapids). Executed by Keegan Rosenberry."
76,e93f5eae,90'+3,Foul,"Keegan Rosenberry (Colorado Rapids) wins a free kick, after being fouled by José Cifuentes (Toronto FC)."
75,e93f5eae,90'+2,Yellow Card,Hamzat Ojediran (Colorado Rapids) is shown the yellow card
90,39bd6d92,90'+6,Attempt Missed,Attempt missed. Daniel Pinter's (Inter Miami CF) with right footed shot from the right side of the box with an xG of 3% misses to the right.
89,39bd6d92,90'+5,Corner,"Corner from the left, (New York City Football Club). Executed by Maxi Moralez."
88,39bd6d92,90'+5,Attempt Saved,Attempt saved. Aiden O'Neill's (New York City Football Club) with header from the center of the box with an xG of 11% is saved by Dayne St. Clair.
87,39bd6d92,90'+5,Corner,"Corner from the right, (New York City Football Club). Executed by Nicolás Fernández."
86,39bd6d92,90'+3,Foul,Foul by David Ayala (Inter Miami CF).
85,39bd6d92,90'+2,Foul,"Jonathan Shore (New York City Football Club) wins a free kick, after being fouled by David Ruíz (Inter Miami CF)."
84,39bd6d92,90'+2,Foul,Foul by Nicolás Fernández (New York City Football Club).
83,39bd6d92,90'+1,Foul,"Talles Magno (New York City Football Club) wins a free kick, after being fouled by David Ruíz (Inter Miami CF)."
82,39bd6d92,90',Attempt Missed,Attempt missed. Matt Freese's (New York City Football Club) with header from the center of the box with an xG of 8% misses to the left.
81,39bd6d92,90',Corner,"Corner from the right, (New York City Football Club). Executed by Nicolás Fernández."
80,39bd6d92,90',Attempt Saved,Attempt blocked. Talles Magno's (New York City Football Club) with right footed shot from the center of the box with an xG of 14% is blocked by David Ayala.
79,39bd6d92,88',Attempt Missed,Attempt missed. Germán Berterame's (Inter Miami CF) with header from the center of the box goes over.
78,39bd6d92,88',Corner,"Corner from the right, (Inter Miami CF). Executed by Lionel Messi."
77,39bd6d92,86',Substitution,"Substitution: T. Gray out, D. Baiera in"
98,eaff4742,90'+8,Corner,"Corner from the left, (Portland Timbers). Executed by Ariel Lassiter."
97,eaff4742,90'+8,Attempt Saved,Attempt blocked. Kristoffer Velde's (Portland Timbers) with right footed shot from the left half-space outside the box with an xG of 2% is blocked by Wayne Frederick.
96,eaff4742,90'+6,Attempt Missed,Attempt missed. Rafael Navarro's (Colorado Rapids) with left footed shot from the left side of the box with an xG of 6% misses to the left.
73,14f38591,90'+14,Foul,"Wessam Abou Ali (Columbus Crew) wins a free kick, after being fouled by Stian Gregersen (Atlanta United)."
72,14f38591,90'+13,Offside,"Offside, Atlanta United. Stian Gregersen is caught offside."
71,14f38591,90'+13,Corner,"Corner from the left, (Atlanta United). Executed by Saba Lobjanidze."
70,14f38591,90'+13,Attempt Saved,Attempt blocked. Cooper Sanchez's (Atlanta United) with left footed shot from the center of the box with an xG of 15% is blocked by Sean Zawadzki.
69,14f38591,90'+13,Attempt Saved,Attempt blocked. Saba Lobjanidze's (Atlanta United) with right footed shot from the left side of the box with an xG of 2% is blocked by Cooper Sanchez.
