general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
58.4,41.6,16,6,3,2,6,2,645,469,92.3,85.9,3,6,12,3,1,2,9,10,3.1,0.5,1,3,3,8,10,15,0,2,0,0,92.3,85.9,92.1,85.8,0.0,33.3,33.3,33.3,1,0,16,6,0,0,0.5,3.1,0,0,0,1,3,2,7,1,6,2,92.3,85.9,92.1,85.8,0.0,33.3,33.3,33.3,64.4,35.6,59.24,40.76,68.07,31.93,56.76,43.24,36.82,63.18,46.93,53.07,51.57,48.43,45.55,54.45,50.31,49.69,49.52,50.48,44.11,55.89,75.08,24.92,83.27,16.73,33.12,66.88,69.26,30.74,62.31,37.69,64.16,35.84,57.72,42.28,3.1,0.5,16,6,3,2,919a513b
58.2,41.8,19,14,11,5,6,2,718,406,89.4,84.0,6,1,5,5,0,1,3,8,2.1,1.7,3,7,2,4,12,16,5,2,0,1,89.4,84.0,89.2,83.9,0.0,0.0,20.0,40.0,2,4,19,14,0,0,1.7,2.1,0,1,4,2,11,5,1,6,6,2,89.4,84.0,89.2,83.9,0.0,0.0,20.0,40.0,52.38,47.62,53.28,46.72,51.74,48.26,83.66,16.34,49.75,50.25,43.9,56.1,60.0,40.0,49.56,50.44,65.69,34.31,69.14,30.86,76.97,23.03,79.72,20.28,60.28,39.72,54.02,45.98,36.55,63.45,75.52,24.48,69.0,31.0,31.85,68.15,2.1,1.7,19,14,11,5,673c8f57
62.4,37.6,42,5,15,2,11,3,509,251,87.6,68.9,16,7,34,3,1,0,21,11,4.2,0.5,1,14,6,16,10,13,0,1,0,1,87.6,68.9,87.4,74.3,18.2,0.0,35.3,33.3,1,1,42,5,0,0,0.5,4.2,0,4,1,1,15,2,12,0,11,3,87.6,68.9,87.4,74.3,18.2,0.0,35.3,33.3,46.28,53.72,58.54,41.46,49.58,50.42,30.26,69.74,65.84,34.16,71.41,28.59,57.79,42.21,48.35,51.65,71.85,28.15,72.43,27.57,64.13,35.87,69.69,30.31,55.29,44.71,63.02,36.98,70.82,29.18,51.21,48.79,73.04,26.96,81.42,18.58,4.2,0.5,42,5,15,2,236c324c
64.3,35.8,19,9,4,6,7,1,644,339,87.3,77.0,11,2,15,0,0,2,17,10,1.5,2.9,2,3,1,11,11,14,2,1,0,0,87.3,77.0,86.7,78.9,42.9,0.0,33.3,0.0,4,2,19,9,0,0,2.9,1.5,1,2,2,4,4,6,6,1,7,1,87.3,77.0,86.7,78.9,42.9,0.0,33.3,0.0,71.78,28.22,67.13,32.87,50.38,49.62,55.81,44.19,68.32,31.68,58.66,41.34,56.31,43.69,44.66,55.34,71.27,28.73,75.27,24.73,68.56,31.44,51.61,48.39,61.6,38.4,79.71,20.29,76.14,23.86,67.61,32.39,60.64,39.36,61.4,38.6,1.5,2.9,19,9,4,6,e7ce5055
50.4,49.6,14,16,6,8,2,2,457,462,85.6,88.7,4,6,1,9,2,1,7,3,1.6,2.3,5,5,6,5,10,12,3,1,0,0,85.6,88.7,84.9,88.1,50.0,25.0,0.0,22.2,3,1,14,16,0,0,2.3,1.6,0,1,1,3,6,8,5,4,2,2,85.6,88.7,84.9,88.1,50.0,25.0,0.0,22.2,56.94,43.06,33.72,66.28,57.32,42.68,72.37,27.63,55.87,44.13,56.77,43.23,44.07,55.93,33.1,66.9,50.9,49.1,71.3,28.7,50.84,49.16,63.22,36.78,47.96,52.04,58.92,41.08,34.98,65.02,35.07,64.93,26.76,73.24,40.17,59.83,1.6,2.3,14,16,6,8,d3bd1a35
50.3,49.7,18,11,6,5,6,0,444,454,84.5,85.0,3,4,4,6,0,1,17,14,2.0,2.0,4,4,6,10,15,14,2,0,0,0,84.5,85.0,84.5,84.9,0.0,0.0,50.0,16.7,1,2,18,11,0,0,2.0,2.0,1,0,2,1,6,5,6,6,6,0,84.5,85.0,84.5,84.9,0.0,0.0,50.0,16.7,47.4,52.6,45.64,54.36,48.0,52.0,37.76,62.24,40.77,59.23,61.49,38.51,32.16,67.84,76.11,23.89,31.25,68.75,49.48,50.52,73.46,26.54,52.3,47.7,49.28,50.72,28.72,71.28,36.27,63.73,85.71,14.29,45.0,55.0,52.91,47.09,2.0,2.0,18,11,6,5,ab9d3d48
41.0,59.0,9,19,2,5,5,6,281,493,75.4,88.8,5,4,1,8,4,1,12,12,1.6,1.7,4,0,3,2,20,10,2,2,0,0,75.4,88.8,75.8,88.9,0.0,66.7,0.0,37.5,1,3,9,19,0,0,1.7,1.6,0,0,3,1,2,5,2,7,5,6,75.4,88.8,75.8,88.9,0.0,66.7,0.0,37.5,47.22,52.78,57.11,42.89,15.82,84.18,38.8,61.2,25.73,74.27,82.15,17.85,51.86,48.14,41.81,58.19,31.5,68.5,25.65,74.35,27.86,72.14,43.86,56.14,60.25,39.75,33.32,66.68,48.09,51.91,43.1,56.9,23.6,76.4,48.07,51.93,1.6,1.7,9,19,2,5,2c7e9d25
54.9,45.1,11,8,3,6,3,1,504,427,84.9,87.3,10,3,10,3,2,1,23,33,0.7,1.4,5,3,2,13,12,11,4,3,0,0,84.9,87.3,86.2,88.2,40.0,0.0,30.0,0.0,1,0,11,8,0,0,1.4,0.7,0,0,0,1,3,6,3,1,3,1,84.9,87.3,86.2,88.2,40.0,0.0,30.0,0.0,41.63,58.37,13.42,86.58,54.74,45.26,56.29,43.71,76.24,23.76,31.57,68.43,35.78,64.22,63.35,36.65,74.49,25.51,68.41,31.59,51.62,48.38,43.59,56.41,57.38,42.62,83.76,16.24,70.91,29.09,53.34,46.66,56.24,43.76,68.31,31.69,0.7,1.3,11,8,3,6,724753a1
48.3,51.8,14,10,7,4,3,5,471,447,84.3,81.4,8,5,11,7,3,2,13,12,1.7,1.0,3,5,7,6,12,17,0,4,0,0,84.3,81.4,84.0,82.0,28.6,0.0,9.1,14.3,1,1,14,10,0,0,1.0,1.7,3,5,1,1,7,4,4,1,3,5,84.3,81.4,84.0,82.0,28.6,0.0,9.1,14.3,49.89,50.11,60.2,39.8,38.57,61.43,46.47,53.53,51.26,48.74,43.7,56.3,45.2,54.8,35.81,64.19,40.71,59.29,37.51,62.49,68.94,31.06,45.57,54.43,46.89,53.11,72.46,27.54,37.88,62.12,44.96,55.04,36.55,63.45,54.21,45.79,1.7,1.0,14,10,7,4,418fc14a
42.7,57.3,8,19,5,7,1,6,381,555,86.6,92.3,4,3,7,5,3,0,7,11,1.1,2.5,1,4,7,6,15,8,0,1,0,0,86.6,92.3,87.2,92.5,0.0,50.0,28.6,40.0,5,1,8,19,0,0,2.5,1.1,0,3,1,5,5,7,1,7,1,6,86.6,92.3,87.2,92.5,0.0,50.0,28.6,40.0,42.6,57.4,48.81,51.19,47.58,52.42,41.99,58.01,38.26,61.74,61.46,38.54,51.6,48.4,30.15,69.85,32.01,67.99,63.7,36.3,31.24,68.76,33.38,66.62,46.73,53.27,34.23,65.77,30.4,69.6,40.29,59.71,35.35,64.65,45.27,54.73,1.1,2.4,8,19,5,7,5cd86fea
