player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
T. Romero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYC,home,919a513b
T. Martins,90,0,0,0,0,84.1,0,58,0,0,0,1,100,2,1,0,0,0,NYC,home,919a513b
T. Gray,90,0,0,0,0,77.6,0,52,0,0,4,2,50,0,2,1,0,0,NYC,home,919a513b
M. Moralez,90,0,0,0,0,83.1,0,54,1,1,3,1,50,0,1,0,0,0,NYC,home,919a513b
K. Parks,26,0,0,0,0,80,0,12,0,0,0,0,0,0,2,0,0,0,NYC,home,919a513b
J. Haak,90,0,0,0,0,91.2,0,31,0,0,0,3,100,3,4,0,1,0,NYC,home,919a513b
A. Perea,53,0,0.27,2,1,75,0,6,0,0,0,0,0,1,0,0,0,0,NYC,home,919a513b
G. Ranjitsingh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYC,home,919a513b
D. Baiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYC,home,919a513b
J. Shore,90,0,0.07,2,0,82.6,0,38,1,0,0,0,0,1,0,0,0,0,NYC,home,919a513b
M. Bakrar,5,0,0.11,1,0,100,0,2,0,0,0,0,0,0,1,0,0,0,NYC,home,919a513b
B. Risa,64,0,0,0,0,79.2,0,19,0,0,0,3,50,1,2,0,0,0,NYC,home,919a513b
J. Fernández,85,1,0.35,5,2,75.7,0,28,1,5,3,0,0,0,2,0,0,0,NYC,home,919a513b
A. Martínez,85,0,1.38,7,2,83.3,0,5,0,0,2,0,0,0,1,1,0,0,NYC,home,919a513b
H. Wolf,90,0,0.1,2,0,78.8,0,26,0,1,0,1,50,2,0,0,1,0,NYC,home,919a513b
S. Tanasijević,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYC,home,919a513b
A. Ojeda,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYC,home,919a513b
N. Cavallo,37,0,0,0,0,85.7,0,6,0,0,0,1,50,0,0,0,0,0,NYC,home,919a513b
M. Robinson,90,0,0.15,1,0,82.3,0,56,0,0,0,3,100,0,0,0,0,0,CIN,away,919a513b
B. Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CIN,away,919a513b
E. Louro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
M. Miazga,69,0,0,0,0,86.7,0,39,0,0,0,2,100,1,1,1,1,0,CIN,away,919a513b
A. Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
N. Hagglund,45,0,0,0,0,72.7,0,24,0,0,0,2,66.67,0,0,1,0,0,CIN,away,919a513b
Y. Kubo,45,0,0,0,0,100,0,20,0,0,0,0,0,0,1,0,0,0,CIN,away,919a513b
S. Santos,45,0,0.06,1,0,91.7,0,11,0,0,1,3,75,2,1,0,0,0,CIN,away,919a513b
T. Hadebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
C. Baird,9,0,0,0,0,75,0,3,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
D. Yedlin,90,0,0,0,0,81.6,0,31,0,0,4,1,50,0,0,0,0,0,CIN,away,919a513b
B. Anunga,90,0,0.37,1,0,90.2,0,37,0,0,0,0,0,1,1,0,0,0,CIN,away,919a513b
G. Valenzuela,45,0,0.32,2,2,78.6,0,11,0,0,0,0,0,1,0,0,0,0,CIN,away,919a513b
E. Da Silva Ferreira,90,0,0.1,3,0,82.5,0,33,0,1,1,1,33.33,5,2,0,1,0,CIN,away,919a513b
L. Orellano,81,0,0.14,4,1,66.7,0,14,4,5,3,0,0,1,1,0,0,0,CIN,away,919a513b
S. Chirila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
K. Denkey,90,0,0,0,0,85,0,17,0,0,1,1,25,2,3,0,0,0,CIN,away,919a513b
L. Engel,89,0,0.02,1,1,71.1,0,32,0,0,1,2,66.67,2,0,0,0,0,CIN,away,919a513b
G. Flores,21,0,0,0,0,92.9,0,13,0,0,0,0,0,0,0,0,0,0,CIN,away,919a513b
B. Acosta,8,0,0,0,0,80,0,4,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
A. Najar,90,0,0,0,0,88.1,1,52,0,0,2,0,0,3,1,0,0,0,NSH,home,4cb316bb
G. Brugman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
J. Pérez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
D. Lovitz,90,0,0,0,0,71.4,0,25,0,0,1,1,100,1,0,0,1,0,NSH,home,4cb316bb
J. Maher,90,0,0,0,0,89.6,0,43,0,0,0,3,75,0,0,0,0,0,NSH,home,4cb316bb
J. Bauer,1,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
H. Mukhtar,89,1,0.15,4,4,88.2,0,30,1,10,2,0,0,0,1,2,0,0,NSH,home,4cb316bb
A. Muyl,89,0,0.1,2,1,64,1,16,0,0,1,0,0,1,1,0,0,0,NSH,home,4cb316bb
J. Shaffelburg,74,1,0.06,2,1,85.3,0,29,0,0,2,0,0,0,0,0,0,0,NSH,home,4cb316bb
T. Bunbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
S. Surridge,90,0,0.15,2,1,83.3,0,15,0,0,0,1,16.67,0,1,1,0,0,NSH,home,4cb316bb
C. Applewhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
P. Yazbek,82,0,0,0,0,90,2,45,0,0,1,0,0,4,1,0,1,0,NSH,home,4cb316bb
J. Palacios,90,0,0.21,2,1,84.6,0,44,0,0,0,9,90,2,2,0,1,0,NSH,home,4cb316bb
B. Schwake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
E. Tagseth,90,0,0,0,0,92.9,0,39,1,2,1,0,0,0,1,0,0,0,NSH,home,4cb316bb
W. Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSH,home,4cb316bb
A. Qasem,16,0,0,0,0,100,0,2,0,0,0,0,0,1,2,0,0,0,NSH,home,4cb316bb
A. Malanda,90,0,0,0,0,89.9,0,80,0,0,0,3,60,1,0,0,0,0,CLT,away,4cb316bb
B. Bronico,78,0,0,0,0,85.3,1,29,0,0,2,1,33.33,1,0,0,0,0,CLT,away,4cb316bb
K. Vargas,12,0,0,0,0,90,0,9,0,0,0,1,100,0,0,0,0,0,CLT,away,4cb316bb
D. Bingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,4cb316bb
E. Williamson,23,0,0,0,0,72.7,0,8,0,0,0,0,0,1,1,0,0,0,CLT,away,4cb316bb
B. Tuiloma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,4cb316bb
J. Marshall-Rutty,90,0,0,0,0,86.8,0,46,0,0,1,0,0,0,0,0,0,0,CLT,away,4cb316bb
P. Agyemang,66,0,0.84,2,1,100,0,10,0,0,1,1,16.67,0,1,1,0,0,CLT,away,4cb316bb
A. Privett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLT,away,4cb316bb
N. Scardina,89,0,0,0,0,94.9,0,56,0,0,0,0,0,0,0,0,0,0,CLT,away,4cb316bb
