match_id,date,minute,title,comment,out_player,in_player,home_team,away_team
3794403e,2024-06-01,,End Of Second Half,End of match.,,,Portland,Houston
3794403e,2024-06-01,,Full Time,"Second half ends, Portland Timbers 2, Houston Dynamo FC 2.",,,Portland,Houston
3794403e,2024-06-01,90'+7,Yellow Card,Brooklyn Raines (Houston Dynamo FC) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,90'+7,,"Offside, Houston Dynamo FC. Ibrahim Aliyu is caught offside.",,,Portland,Houston
3794403e,2024-06-01,90'+6,,"Brooklyn Raines (Houston Dynamo FC) wins a free kick, after being fouled by David Ayala (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,90'+6,,"Offside, Houston Dynamo FC. Héctor Herrera is caught offside.",,,Portland,Houston
3794403e,2024-06-01,90'+5,Yellow Card,Griffin Dorsey (Houston Dynamo FC) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,90'+4,,,S. Kowalczyk,E. Sviatchenko,Portland,Houston
3794403e,2024-06-01,90'+3,Attempt Missed,Attempt missed. David Ayala's (Portland Timbers) with left footed shot from the central position outside the box with an xG of 5% goes over.,,,Portland,Houston
3794403e,2024-06-01,90'+3,,"Juan Mosquera (Portland Timbers) wins a free kick, after being fouled by Sebastian Kowalczyk (Houston Dynamo FC).",,,Portland,Houston
3794403e,2024-06-01,90'+2,,"Jose De Lima Junior (Houston Dynamo FC) wins a free kick, after being fouled by David Ayala (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,,,"Corner from the left, (Portland Timbers). Executed by Evander Da Silva Ferreira.",,,Portland,Houston
3794403e,2024-06-01,90'+1,,"Corner from the right, (Portland Timbers). Executed by Evander Da Silva Ferreira.",,,Portland,Houston
3794403e,2024-06-01,90',Attempt Saved,Attempt blocked. Kamal Miller's (Portland Timbers) with right footed shot from the centre of the box with an xG of 13% is blocked by Ethan Bartlow.,,,Portland,Houston
3794403e,2024-06-01,90',Post,Nathan Fogaça (Portland Timbers) hits the cross bar from the centre of the box with an xG of 10%.,,,Portland,Houston
3794403e,2024-06-01,90',,"Corner from the right, (Portland Timbers). Executed by Evander Da Silva Ferreira.",,,Portland,Houston
3794403e,2024-06-01,89',Post,Evander Da Silva Ferreira (Portland Timbers) hits the cross bar from the central position outside the box with an xG of 3%.,,,Portland,Houston
3794403e,2024-06-01,88',,"David Ayala (Portland Timbers) wins a free kick, after being fouled by Ibrahim Aliyu (Houston Dynamo FC).",,,Portland,Houston
3794403e,2024-06-01,87',,,F. Escobar,G. Dorsey,Portland,Houston
3794403e,2024-06-01,87',,,A. Bassi,B. Raines,Portland,Houston
3794403e,2024-06-01,83',,"Daniel Steres (Houston Dynamo FC) wins a free kick, after being fouled by Antony Alves Santos (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,83',,"Offside, Houston Dynamo FC. Ibrahim Aliyu is caught offside.",,,Portland,Houston
3794403e,2024-06-01,82',Yellow Card,Eryk Williamson (Portland Timbers) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,82',,"Sebastian Kowalczyk (Houston Dynamo FC) wins a free kick, after being fouled by Eryk Williamson (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,82',,,S. Moreno,E. Williamson,Portland,Houston
3794403e,2024-06-01,81',,"Ibrahim Aliyu (Houston Dynamo FC) wins a free kick, after being fouled by Miguel Araujo (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,81',,"Corner from the right, (Portland Timbers). Executed by Evander Da Silva Ferreira.",,,Portland,Houston
3794403e,2024-06-01,81',Attempt Saved,Attempt blocked. Jonathan Rodríguez's (Portland Timbers) with right footed shot from the left side of the box with an xG of 6% is blocked by Ethan Bartlow.,,,Portland,Houston
3794403e,2024-06-01,76',Goal,Goal! 2:2. Nathan Fogaça (Portland Timbers) scored with header from the centre of the box with an xG of 35%. Assisted by Evander Da Silva Ferreira.,,,Portland,Houston
3794403e,2024-06-01,76',Yellow Card,Micael dos Santos Silva (Houston Dynamo FC) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,,,"Nathan Fogaça (Portland Timbers) wins a free kick, after being fouled by Micael dos Santos Silva (Houston Dynamo FC).",,,Portland,Houston
3794403e,2024-06-01,75',Attempt Saved,Attempt saved. Ibrahim Aliyu's (Houston Dynamo FC) with right footed shot from the left side of the box with an xG of 3% is saved by Maxime Crépeau.,,,Portland,Houston
3794403e,2024-06-01,75',,,D. Chará,N. Fogaça,Portland,Houston
3794403e,2024-06-01,74',Attempt Missed,Attempt missed. Jonathan Rodríguez's (Portland Timbers) with header from the centre of the box with an xG of 13% misses to the left.,,,Portland,Houston
3794403e,2024-06-01,73',Yellow Card,Diego Chará (Portland Timbers) is shown the yellow card for the foul.,,,Portland,Houston
3794403e,2024-06-01,,,"Coco Carrasquilla (Houston Dynamo FC) wins a free kick, after being fouled by Diego Chará (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,71',Yellow Card,Evander Da Silva Ferreira (Portland Timbers) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,71',,"Jose De Lima Junior (Houston Dynamo FC) wins a free kick, after being fouled by Evander Da Silva Ferreira (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,70',,"Corner from the right, (Houston Dynamo FC). Executed by Héctor Herrera.",,,Portland,Houston
3794403e,2024-06-01,70',,"Corner from the left, (Houston Dynamo FC). Executed by Héctor Herrera.",,,Portland,Houston
3794403e,2024-06-01,69',Attempt Saved,Attempt blocked. Amine Bassi's (Houston Dynamo FC) with right footed shot from the centre of the box with an xG of 17% is blocked by Miguel Araujo.,,,Portland,Houston
3794403e,2024-06-01,67',Yellow Card,Dario Zuparic (Portland Timbers) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
3794403e,2024-06-01,67',,"Coco Carrasquilla (Houston Dynamo FC) wins a free kick, after being fouled by Dario Zuparic (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,65',Attempt Saved,Attempt blocked. Amine Bassi's (Houston Dynamo FC) with right footed shot from the central position outside the box with an xG of 2% is blocked by Miguel Araujo.,,,Portland,Houston
3794403e,2024-06-01,65',,"Corner from the right, (Houston Dynamo FC). Executed by Héctor Herrera.",,,Portland,Houston
3794403e,2024-06-01,64',,"Corner from the left, (Houston Dynamo FC). Executed by Héctor Herrera.",,,Portland,Houston
3794403e,2024-06-01,63',,"Héctor Herrera (Houston Dynamo FC) wins a free kick, after being fouled by Diego Chará (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,62',,,C. Bravo,M. Araujo,Portland,Houston
3794403e,2024-06-01,62',,,C. Paredes,D. Ayala,Portland,Houston
3794403e,2024-06-01,,,"Amine Bassi (Houston Dynamo FC) wins a free kick, after being fouled by Santiago Moreno (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,59',,"Sebastian Kowalczyk (Houston Dynamo FC) wins a free kick, after being fouled by Cristhian Paredes (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,58',,"Cristhian Paredes (Portland Timbers) wins a free kick, after being fouled by Héctor Herrera (Houston Dynamo FC).",,,Portland,Houston
3794403e,2024-06-01,57',,,L. Blessing,I. Aliyu,Portland,Houston
3794403e,2024-06-01,54',,"Jose De Lima Junior (Houston Dynamo FC) wins a free kick, after being fouled by Jonathan Rodríguez (Portland Timbers).",,,Portland,Houston
3794403e,2024-06-01,53',Yellow Card,Héctor Herrera (Houston Dynamo FC) is shown the yellow card for poor sportsmanship.,,,Portland,Houston
