general_possession_pct_home,general_possession_pct_away,general_shots_home,general_shots_away,general_shots_on_goal_home,general_shots_on_goal_away,general_blocked_shots_home,general_blocked_shots_away,general_total_passes_home,general_total_passes_away,general_passing_accuracy_pct_home,general_passing_accuracy_pct_away,general_corners_home,general_corners_away,general_total_crosses_home,general_total_crosses_away,general_offsides_home,general_offsides_away,general_aerial_duels_won_home,general_aerial_duels_won_away,general_expected_goals_home,general_expected_goals_away,general_goalkeeper_saves_home,general_goalkeeper_saves_away,general_clearances_home,general_clearances_away,general_fouls_home,general_fouls_away,general_yellow_cards_home,general_yellow_cards_away,general_red_cards_home,general_red_cards_away,general_overall_pct_home,general_overall_pct_away,general_open_play_pass_pct_home,general_open_play_pass_pct_away,general_set_piece_cross_pct_home,general_set_piece_cross_pct_away,general_open_play_cross_pct_home,general_open_play_cross_pct_away,general_goals_conceded_home,general_goals_conceded_away,general_shots_against_home,general_shots_against_away,general_clean_sheets_home,general_clean_sheets_away,general_xg_conceded_home,general_xg_conceded_away,general_interceptions_home,general_interceptions_away,shooting_goals_home,shooting_goals_away,shooting_on_target_home,shooting_on_target_away,shooting_off_target_home,shooting_off_target_away,shooting_blocked_home,shooting_blocked_away,passing_overall_pct_home,passing_overall_pct_away,passing_open_play_pass_pct_home,passing_open_play_pass_pct_away,passing_set_piece_cross_pct_home,passing_set_piece_cross_pct_away,passing_open_play_cross_pct_home,passing_open_play_cross_pct_away,possession_0_5_home,possession_0_5_away,possession_6_10_home,possession_6_10_away,possession_11_15_home,possession_11_15_away,possession_16_20_home,possession_16_20_away,possession_21_25_home,possession_21_25_away,possession_26_30_home,possession_26_30_away,possession_31_35_home,possession_31_35_away,possession_36_40_home,possession_36_40_away,possession_41_45_home,possession_41_45_away,possession_46_50_home,possession_46_50_away,possession_51_55_home,possession_51_55_away,possession_56_60_home,possession_56_60_away,possession_61_65_home,possession_61_65_away,possession_66_70_home,possession_66_70_away,possession_71_75_home,possession_71_75_away,possession_76_80_home,possession_76_80_away,possession_81_85_home,possession_81_85_away,possession_86_90_home,possession_86_90_away,xg_total_team_xg_home,xg_total_team_xg_away,xg_shots_home,xg_shots_away,xg_shots_on_target_home,xg_shots_on_target_away,match_id
50.1,49.9,8,9,2,5,3,1,370,428,85.4,85.0,6,1,8,3,1,2,13,17,0.5,1.8,3,2,5,5,12,11,3,2,0,0,85.4,85.0,84.9,85.3,16.7,0.0,37.5,33.3,3,0,8,9,0,0,1.8,0.5,2,2,0,2,2,5,3,2,3,1,85.4,85.0,84.9,85.3,16.7,0.0,37.5,33.3,42.28,57.72,42.4,57.6,42.26,57.74,39.89,60.11,66.13,33.87,48.98,51.02,73.34,26.66,37.32,62.68,45.42,54.58,53.78,46.22,45.34,54.66,33.28,66.72,72.11,27.89,63.24,36.76,63.93,36.07,44.65,55.35,53.62,46.38,54.01,45.99,0.5,1.8,8,9,2,5,919a513b
59.7,40.3,18,10,4,4,6,3,584,382,88.2,80.6,4,3,10,7,1,1,7,14,2.4,1.2,2,2,10,8,12,10,3,4,0,0,88.2,80.6,88.0,80.6,25.0,75.0,50.0,28.6,3,2,18,10,0,0,1.2,2.4,0,0,2,2,4,4,8,2,6,3,88.2,80.6,88.0,80.6,25.0,75.0,50.0,28.6,50.59,49.41,41.25,58.75,59.81,40.19,75.11,24.89,50.25,49.75,37.46,62.54,76.9,23.1,78.27,21.73,49.71,50.29,36.31,63.69,52.95,47.05,50.51,49.49,78.91,21.09,44.16,55.84,70.97,29.03,68.83,31.17,73.43,26.57,65.28,34.72,2.4,1.2,18,10,4,4,0fcc6367
55.4,44.6,16,7,11,4,4,3,682,495,91.3,89.5,9,4,8,3,3,1,7,8,2.2,2.2,1,5,4,7,10,12,0,1,0,0,91.3,89.5,91.4,89.6,16.7,0.0,12.5,0.0,2,5,16,7,0,0,2.2,2.2,4,2,5,2,11,4,1,1,4,3,91.3,89.5,91.4,89.6,16.7,0.0,12.5,0.0,49.87,50.13,45.35,54.65,78.42,21.58,57.4,42.6,54.58,45.42,53.37,46.63,65.65,34.35,69.43,30.57,31.72,68.28,71.73,28.27,60.59,39.41,65.44,34.56,37.25,62.75,62.34,37.66,33.64,66.36,40.01,59.99,58.13,41.87,58.91,41.09,2.2,2.2,16,7,11,4,c4289199
41.3,58.7,5,10,2,3,2,2,426,646,88.7,93.0,1,2,2,21,2,0,7,7,0.4,0.5,3,1,9,3,11,15,5,1,0,0,88.7,93.0,89.3,93.2,100.0,100.0,100.0,19.1,0,1,5,10,0,0,0.5,0.4,1,0,1,0,2,3,1,4,2,2,88.7,93.0,89.3,93.2,100.0,100.0,100.0,19.1,24.16,75.84,55.13,44.87,67.48,32.52,40.74,59.26,51.39,48.61,14.72,85.28,27.55,72.45,46.66,53.34,44.89,55.11,77.98,22.02,60.26,39.74,40.31,59.69,27.95,72.05,17.03,82.97,76.27,23.73,7.79,92.21,20.47,79.53,26.05,73.95,0.4,0.5,5,10,2,3,e58ff098
64.9,35.1,8,14,4,3,2,8,667,323,89.2,74.6,2,3,8,8,5,2,7,22,0.8,2.2,2,3,7,9,7,19,1,2,1,0,89.2,74.6,89.2,74.8,0.0,33.3,25.0,37.5,1,1,8,14,0,0,2.2,0.8,3,1,1,1,4,3,2,1,2,8,89.2,74.6,89.2,74.8,0.0,33.3,25.0,37.5,64.39,35.61,80.9,19.1,73.26,26.74,70.99,29.01,59.68,40.32,75.96,24.04,56.61,43.39,58.49,41.51,66.69,33.31,50.62,49.38,63.43,36.57,61.73,38.27,54.24,45.76,80.94,19.06,69.14,30.86,84.65,15.35,59.69,40.31,55.13,44.87,0.8,2.2,8,14,4,3,2c9aa1cc
47.2,52.8,11,12,4,4,2,4,367,412,81.7,82.8,6,9,7,10,0,0,17,21,2.0,0.9,3,2,9,6,18,15,3,2,1,0,81.7,82.8,81.7,82.5,0.0,44.4,28.6,30.0,1,2,11,12,0,0,0.9,2.0,1,1,2,1,4,4,4,3,2,4,81.7,82.8,81.7,82.5,0.0,44.4,28.6,30.0,25.33,74.67,52.81,47.19,54.98,45.02,39.02,60.98,65.07,34.93,62.05,37.95,52.85,47.15,54.52,45.48,44.68,55.32,45.29,54.71,47.21,52.79,55.61,44.39,25.09,74.91,49.17,50.83,44.64,55.36,51.12,48.88,47.57,52.43,41.73,58.27,2.0,0.9,11,12,4,4,3ae632eb
48.3,51.7,20,11,7,4,6,2,418,444,81.3,82.9,6,5,4,7,0,0,13,19,1.7,0.8,4,4,6,5,7,13,1,1,0,0,81.3,82.9,81.9,82.9,33.3,0.0,50.0,0.0,0,3,20,11,0,0,0.8,1.7,0,1,3,0,7,4,4,4,6,2,81.3,82.9,81.9,82.9,33.3,0.0,50.0,0.0,47.0,53.0,45.75,54.25,59.29,40.71,50.17,49.83,60.16,39.84,35.0,65.0,51.64,48.36,61.39,38.61,57.15,42.85,58.81,41.19,37.09,62.91,49.09,50.91,39.09,60.91,47.68,52.32,41.82,58.18,49.83,50.17,25.15,74.85,45.72,54.28,1.7,0.8,20,11,7,4,2b7ce61f
66.0,34.0,16,2,1,2,9,0,640,285,88.3,73.3,9,0,12,1,0,2,8,9,1.2,0.1,2,1,2,14,14,11,3,5,0,0,88.3,73.3,88.0,74.1,33.3,0.0,16.7,0.0,0,0,16,2,0,0,0.1,1.2,0,2,0,0,1,2,5,0,9,0,88.3,73.3,88.0,74.1,33.3,0.0,16.7,0.0,75.75,24.25,62.14,37.86,82.5,17.5,51.2,48.8,50.57,49.43,50.77,49.23,81.41,18.59,68.9,31.1,52.01,47.99,59.08,40.92,61.79,38.21,70.65,29.35,81.06,18.94,71.73,28.27,61.29,38.71,47.89,52.11,76.13,23.87,82.49,17.51,1.2,0.1,16,2,1,2,5d98b079
46.9,53.1,9,12,4,6,1,3,357,497,81.0,84.1,5,3,15,8,4,3,15,9,0.8,1.8,5,3,5,12,17,4,1,0,0,0,81.0,84.1,82.0,84.1,20.0,0.0,33.3,37.5,1,1,9,12,0,0,1.8,0.8,0,0,1,1,4,6,4,3,1,3,81.0,84.1,82.0,84.1,20.0,0.0,33.3,37.5,30.66,69.34,53.42,46.58,27.12,72.88,61.71,38.29,36.97,63.03,70.91,29.09,51.6,48.4,47.88,52.12,49.7,50.3,22.94,77.06,45.73,54.27,16.07,83.93,64.58,35.42,45.72,54.28,33.05,66.95,52.52,47.48,48.64,51.36,37.15,62.85,0.8,1.8,9,12,4,6,455ea1d0
62.4,37.6,42,5,15,2,11,3,509,251,87.6,68.9,16,7,34,3,1,0,21,11,4.2,0.5,1,14,6,16,10,13,0,1,0,1,87.6,68.9,87.4,74.3,18.2,0.0,35.3,33.3,1,1,42,5,0,0,0.5,4.2,0,4,1,1,15,2,12,0,11,3,87.6,68.9,87.4,74.3,18.2,0.0,35.3,33.3,46.28,53.72,58.54,41.46,49.58,50.42,30.26,69.74,65.84,34.16,71.41,28.59,57.79,42.21,48.35,51.65,71.85,28.15,72.43,27.57,64.13,35.87,69.69,30.31,55.29,44.71,63.02,36.98,70.82,29.18,51.21,48.79,73.04,26.96,81.42,18.58,4.2,0.5,42,5,15,2,96758e0a
